episode_key,source,label,semantic_quality,target,prediction,reason,scorable,correct
manifest::research_ball_r1_pickup_precision_1e_rail::putt-rail-firm-r09,manifest::research_ball_r1_pickup_precision_1e_rail,putt_rail_collision,WARNING,NOT_PICKUP,UNKNOWN,gyro_clipping,0,
manifest::research_ball_r1_pickup_precision_1e_rail::putt-rail-light-r02,manifest::research_ball_r1_pickup_precision_1e_rail,putt_rail_collision,WARNING,NOT_PICKUP,UNKNOWN,gyro_clipping,0,
manifest::research_ball_r1_pickup_precision_1c::pickup-carry-slow-r06,manifest::research_ball_r1_pickup_precision_1c,pickup_carry,WARNING,PICKUP,PICKUP,frozen_v0_rule,1,1
manifest::research_ball_r1_pickup_precision_1b::rolling-pickup-near-stop-r09,manifest::research_ball_r1_pickup_precision_1b,rolling_pickup,WARNING,NOT_PICKUP,UNKNOWN,unsupported_rolling_start_pickup,0,
manifest::research_ball_r1_pickup_precision_1e_step::track-step-normal-r06,manifest::research_ball_r1_pickup_precision_1e_step,track_step_drop,WARNING,NOT_PICKUP,NOT_PICKUP,frozen_v0_rule,1,1
manifest::research_ball_r1_pickup_precision_1e_step::track-step-plus-obstacle-r08,manifest::research_ball_r1_pickup_precision_1e_step,track_step_drop,MIXED,NOT_PICKUP,UNKNOWN,gyro_clipping,0,
manifest::research_ball_r1_pickup_precision_1b::rolling-pickup-slow-r03,manifest::research_ball_r1_pickup_precision_1b,rolling_pickup,WARNING,NOT_PICKUP,UNKNOWN,unsupported_rolling_start_pickup,0,
manifest::research_ball_r1_pickup_precision_1c::pickup-carry-fast-r09,manifest::research_ball_r1_pickup_precision_1c,pickup_carry,WARNING,PICKUP,PICKUP,frozen_v0_rule,1,1
manifest::research_ball_r1_pickup_precision_1a::handling-touch-r01,manifest::research_ball_r1_pickup_precision_1a,handling,WARNING,NOT_PICKUP,NOT_PICKUP,frozen_v0_rule,1,1
manifest::research_ball_r1_pickup_precision_1d_gentle::putt-gentle-light-r04,manifest::research_ball_r1_pickup_precision_1d_gentle,putt_gentle,WARNING,NOT_PICKUP,UNKNOWN,gyro_clipping,0,
manifest::research_ball_r1_pickup_precision_1c_drop::pickup-drop-r09,manifest::research_ball_r1_pickup_precision_1c_drop,pickup_drop,CLEAN_OPERATOR_LABEL,PICKUP,PICKUP,frozen_v0_rule,1,1
